,filler name,filler name.1,filler name.2,filler name.3,filler name.4,filler name.5,filler name.6,filler name.7,filler name.8,filler name.9,filler name.10,filler name.11,filler name.12,filler name.13,filler name.14,filler name.15,filler name.16,filler name.17,filler name.18,filler name.19,filler name.20,filler name.21,filler name.22,filler name.23,filler name.24,filler name.25,filler name.26,filler name.27,filler name.28,filler name.29,filler name.30,filler name.31,filler name.32,filler name.33,filler name.34,filler name.35,filler name.36,filler name.37,filler name.38,filler name.39,filler name.40,filler name.41,filler name.42,filler name.43,filler name.44,filler name.45,filler name.46,filler name.47,filler name.48,filler name.1.1,filler name.1.1.1,filler name.2.1,filler name.3.1,filler name.4.1,filler name.5.1,filler name.6.1,filler name.7.1,filler name.8.1,filler name.9.1,filler name.10.1,filler name.11.1,filler name.12.1,filler name.13.1,filler name.14.1,filler name.15.1,filler name.16.1,filler name.17.1,filler name.18.1,filler name.19.1,filler name.20.1,filler name.1.1.1.1,filler name.2.1.1,filler name.3.1.1,filler name.4.1.1,filler name.5.1.1,filler name.6.1.1,filler name.7.1.1,filler name.8.1.1,filler name.9.1.1,filler name.10.1.1,filler name.11.1.1,filler name.12.1.1,filler name.13.1.1,filler name.14.1.1,filler name.15.1.1,filler name.16.1.1,filler name.1.1.1.1.1,filler name.2.1.1.1,filler name.3.1.1.1,filler name.1.1.1.1.1.1,filler name.2.1.1.1.1
Systolic Array Rows,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16,16,16,16,16,16,32,32,32,32,32,32,32,64,64,64,64,64,64,64,128,128,128,128,128,128,128,256,256,256,256,256,256,256,16,16,16,16,16,16,16,16,16,16,16,8,32,64,128,256,16,16,16,16,16,8,16,32,64,128,256,16,16,16,16,16,16,16,16,16,16,32,32,32,32,32
Systolic Array Cols,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,16,16,16,16,16,16,8,32,64,128,256,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,32,64,128,256,16,16,16,16,16,32,32,32,32,32
SRAM Input Size,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,1000000,883097,883097,883097,883097,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,25750000,50500000,75250000,100000000
SRAM Filter Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,2359296,1000000,2359296,2359296,2359296,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
SRAM Output Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,883097,1000000,20000,100000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
Accumulator Elements,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
Batch Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,16,32,64,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,1,16,32,64,128,32,32,32,32,32
SRAM Input Reads,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,869884096,434942048,217472048,108737048,54368524,31496204,22327308,217472048,1739776384,3479552768,6959105536,13918211072,27836422144,434942048,108737048,54368524,31496204,22327308,217472048,217472048,217472048,217472048,217472048,217472048,217472048,217472048,217472048,217472048,1739776384,1739776384,1739776384,1739776384,1739776384,1739776384,3479536384,869896384,434948192,251969632,178618464,217472048,3479552768,6959105536,13918211072,27836422144,3479585536,3479585536,3479585536,3479585536,3479585536
SRAM Filter Reads,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25781760,26070016,28071936,30650368,40181760,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25502912,25781760,25781760,25781760,25781760,25781760,25781760,25781760,25781760,25781760,25781760,25781760,25502912,26070016,28071936,30650368,40181760,28071936,28071936,28071936,28071936,28071936
SRAM Output Writes,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,83659584,167319168,334638336,669276672,1338553344,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,10457448,83659584,83659584,83659584,83659584,83659584,83659584,83659584,83659584,83659584,83659584,83659584,10457448,167319168,334638336,669276672,1338553344,334638336,334638336,334638336,334638336,334638336
