,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Symbol Rate (GHz),1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0
Systolic Array Rows,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,16.0,16.0,16.0,32.0,32.0,32.0,64.0,64.0,64.0,128.0,128.0,128.0,256.0,256.0,256.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Systolic Array Cols,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,16.0,16.0,16.0,32.0,32.0,32.0,64.0,64.0,64.0,128.0,128.0,128.0,256.0,256.0,256.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
SRAM Input Size,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,215806.0,215806.0,215806.0,355036.0,355036.0,355036.0,703111.0,703111.0,703111.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0
SRAM Filter Size,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,65536.0,65536.0,65536.0,55357.0,55357.0,55357.0,45178.0,45178.0,45178.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
SRAM Output Size,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,76576.0,215806.0,215806.0,215806.0,355036.0,355036.0,355036.0,703111.0,703111.0,703111.0,20000.0,20000.0,20000.0,100000.0,100000.0,100000.0,500000.0,500000.0,500000.0
Accumulator Elements,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
Batch Size,1.0,1.0,1.0,8.0,8.0,8.0,16.0,16.0,16.0,32.0,32.0,32.0,64.0,64.0,64.0,128.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRAM Input Reads,7196875.0,7196875.0,7196875.0,57575000.0,57575000.0,57575000.0,115150000.0,115150000.0,115150000.0,230300000.0,230300000.0,230300000.0,460600000.0,460600000.0,460600000.0,921200000.0,921200000.0,921200000.0,14393750.0,14393750.0,14393750.0,4318125.0,4318125.0,4318125.0,2878750.0,2878750.0,2878750.0,1439375.0,1439375.0,1439375.0,1439375.0,1439375.0,1439375.0,1439375.0,1439375.0,1439375.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0,7196875.0
SRAM Filter Reads,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,70000.0,70000.0,70000.0,105000.0,105000.0,105000.0,210000.0,210000.0,210000.0,385000.0,385000.0,385000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
