,filler name,filler name.1,filler name.2,filler name.3,filler name.4,filler name.5,filler name.6,filler name.7,filler name.8,filler name.9,filler name.10,filler name.11,filler name.12,filler name.13,filler name.14,filler name.15,filler name.16,filler name.17,filler name.18,filler name.19,filler name.20,filler name.21,filler name.22,filler name.23,filler name.24,filler name.25,filler name.26,filler name.27,filler name.28,filler name.29,filler name.30,filler name.31,filler name.32,filler name.33,filler name.34,filler name.35,filler name.36,filler name.37,filler name.38,filler name.39,filler name.40,filler name.41,filler name.42,filler name.43,filler name.44,filler name.45,filler name.46,filler name.47,filler name.48,filler name.49,filler name.50,filler name.51,filler name.52,filler name.53,filler name.54,filler name.55,filler name.56,filler name.57,filler name.58,filler name.59,filler name.60,filler name.61,filler name.62,filler name.63,filler name.64,filler name.65,filler name.66,filler name.67,filler name.68,filler name.69,filler name.70,filler name.1.1,filler name.2.1,filler name.3.1,filler name.4.1,filler name.5.1,filler name.6.1,filler name.7.1,filler name.8.1,filler name.9.1,filler name.10.1,filler name.11.1,filler name.12.1,filler name.13.1,filler name.14.1,filler name.15.1,filler name.16.1,filler name.17.1,filler name.18.1,filler name.19.1,filler name.20.1,filler name.21.1,filler name.22.1,filler name.23.1,filler name.24.1,filler name.25.1,filler name.26.1,filler name.27.1,filler name.28.1,filler name.29.1,filler name.30.1,filler name.31.1,filler name.32.1,filler name.33.1,filler name.34.1,filler name.35.1,filler name.36.1,filler name.37.1,filler name.38.1,filler name.39.1,filler name.40.1,filler name.41.1,filler name.42.1,filler name.43.1,filler name.44.1,filler name.45.1,filler name.46.1,filler name.47.1,filler name.48.1,filler name.1.1.1,filler name.2.1.1,filler name.3.1.1,filler name.4.1.1,filler name.5.1.1,filler name.6.1.1,filler name.7.1.1,filler name.8.1.1,filler name.9.1.1,filler name.10.1.1,filler name.11.1.1,filler name.12.1.1,filler name.13.1.1,filler name.14.1.1,filler name.15.1.1,filler name.16.1.1,filler name.17.1.1,filler name.18.1.1,filler name.19.1.1,filler name.20.1.1,filler name.21.1.1,filler name.22.1.1,filler name.23.1.1,filler name.24.1.1,filler name.25.1.1,filler name.26.1.1,filler name.27.1.1,filler name.28.1.1,filler name.29.1.1,filler name.30.1.1
Systolic Array Rows,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16,16,16,16,16,16,32,32,32,32,32,32,32,64,64,64,64,64,64,64,128,128,128,128,128,128,128,256,256,256,256,256,256,256,8,8,8,8,8,8,8,8,8,8,8,8,4,16,32,64,128,256,8,8,8,8,8,8,8,8,8,8,8,8
Systolic Array Cols,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,8,8,8,8,8,8,4,16,32,64,128,256,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SRAM Input Size,802816,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,215806,355036,703111,76576,76576,76576,76576,76576,76576,76576,76576,76576
SRAM Filter Size,300000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,65536,55357,45178,35000,35000,35000,35000,35000,35000
SRAM Output Size,300000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,5000000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,5000000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,5000000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,5000000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,5000000,5000000,300000,300000,300000,1000000,1000000,1000000,2000000,2000000,2000000,5000000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,76576,215806,355036,703111,20000,100000,500000
Accumulator Elements,50000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,100000,500000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
Batch Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,16,32,64,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM Input Reads,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,14393750,7196875,4318125,2878750,1439375,1439375,1439375,7196875,57575000,115150000,230300000,460600000,921200000,14393750,4318125,2878750,1439375,1439375,1439375,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875,7196875
SRAM Filter Reads,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,70000,105000,210000,385000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
SRAM Output Writes,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,526400,1052800,2105600,4211200,8422400,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800
