,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Systolic Array Rows,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16,16,16,16,16,16,32,32,32,32,32,32,32,64,64,64,64,64,64,64,128,128,128,128,128,128,128,256,256,256,256,256,256,256
Systolic Array Cols,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256
SRAM Input Size,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816
SRAM Filter Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
SRAM Output Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Accumulator Elements,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Batch Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM Input Reads,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700,28459200,14229600,7114800,3557400,1778700,1778700,1778700
SRAM Filter Reads,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408,9408
SRAM Output Writes,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400
DRAM Input Reads,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528,150528
DRAM Filter Reads,9472,9472,9472,9472,9472,18944,37888,9728,9728,9728,9728,9728,19456,38912,10240,10240,10240,10240,10240,20480,40960,10240,10240,10240,10240,10240,20480,40960,12288,12288,12288,12288,12288,24576,49152,16384,16384,16384,16384,16384,32768,65536,16384,16384,16384,16384,16384,32768,65536
DRAM Output Writes,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400,774400
Total Weights Programming Cycles,592,296,148,74,37,37,37,304,152,76,38,19,19,19,160,80,40,20,10,10,10,80,40,20,10,5,5,5,48,24,12,6,3,3,3,32,16,8,4,2,2,2,16,8,4,2,1,1,1
Total Vector Segments Processed,7163200,3581600,1790800,895400,447700,447700,447700,3678400,1839200,919600,459800,229900,229900,229900,1936000,968000,484000,242000,121000,121000,121000,968000,484000,242000,121000,60500,60500,60500,580800,290400,145200,72600,36300,36300,36300,387200,193600,96800,48400,24200,24200,24200,193600,96800,48400,24200,12100,12100,12100
Accumulator Dumps,4,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,1,1,1,4,2,1,1,1,1,1
