,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Symbol Rate (GHz),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Systolic Array Rows,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
Systolic Array Cols,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0
SRAM Input Size,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0
SRAM Filter Size,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
SRAM Output Size,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Accumulator Elements,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
Batch Size,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRAM Input Reads,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0,53796600.0,28314000.0,14157000.0,8494200.0,5662800.0,2831400.0,2831400.0
SRAM Filter Reads,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0,680625.0
