,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Systolic Array Rows,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16,16,16,16,16,16,32,32,32,32,32,32,32,64,64,64,64,64,64,64,128,128,128,128,128,128,128,256,256,256,256,256,256,256
Systolic Array Cols,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256
SRAM Input Size,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816
SRAM Filter Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
SRAM Output Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Accumulator Elements,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Batch Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM Input Reads,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400,53796600,28314000,14157000,8494200,5662800,2831400,2831400
SRAM Filter Reads,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625,680625
SRAM Output Writes,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400
DRAM Input Reads,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595,221595
DRAM Filter Reads,689776,726080,726080,871296,1161728,1161728,2323456,690080,726400,726400,871680,1162240,1162240,2324480,690688,727040,727040,872448,1163264,1163264,2326528,690688,727040,727040,872448,1163264,1163264,2326528,690688,727040,727040,872448,1163264,1163264,2326528,690688,727040,727040,872448,1163264,1163264,2326528,700416,737280,737280,884736,1179648,1179648,2359296
DRAM Output Writes,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400,23400
Total Weights Programming Cycles,43111,22690,11345,6807,4538,2269,2269,21565,11350,5675,3405,2270,1135,1135,10792,5680,2840,1704,1136,568,568,5396,2840,1420,852,568,284,284,2698,1420,710,426,284,142,142,1349,710,355,213,142,71,71,684,360,180,108,72,36,36
Total Vector Segments Processed,13450632,7079280,3539640,2123784,1415856,707928,707928,6728280,3541200,1770600,1062360,708240,354120,354120,3367104,1772160,886080,531648,354432,177216,177216,1683552,886080,443040,265824,177216,88608,88608,841776,443040,221520,132912,88608,44304,44304,420888,221520,110760,66456,44304,22152,22152,213408,112320,56160,33696,22464,11232,11232
Accumulator Dumps,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
