,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Symbol Rate (GHz),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Systolic Array Rows,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
Systolic Array Cols,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0
SRAM Input Size,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0,802816.0
SRAM Filter Size,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
SRAM Output Size,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Accumulator Elements,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
Batch Size,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRAM Input Reads,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0,29491200.0,14745600.0,7372800.0,3686400.0,1843200.0,921600.0,460800.0
SRAM Filter Reads,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0
