,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
Systolic Array Rows,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16,16,16,16,16,16,32,32,32,32,32,32,32,64,64,64,64,64,64,64,128,128,128,128,128,128,128,256,256,256,256,256,256,256
Systolic Array Cols,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256,4,8,16,32,64,128,256
SRAM Input Size,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816,802816
SRAM Filter Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
SRAM Output Size,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Accumulator Elements,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Batch Size,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM Input Reads,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800,29491200,14745600,7372800,3686400,1843200,921600,460800
SRAM Filter Reads,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288
SRAM Output Writes,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
DRAM Input Reads,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408,401408
DRAM Filter Reads,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288
DRAM Output Writes,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400,230400
Total Weights Programming Cycles,32768,16384,8192,4096,2048,1024,512,16384,8192,4096,2048,1024,512,256,8192,4096,2048,1024,512,256,128,4096,2048,1024,512,256,128,64,2048,1024,512,256,128,64,32,1024,512,256,128,64,32,16,512,256,128,64,32,16,8
Total Vector Segments Processed,7372800,3686400,1843200,921600,460800,230400,115200,3686400,1843200,921600,460800,230400,115200,57600,1843200,921600,460800,230400,115200,57600,28800,921600,460800,230400,115200,57600,28800,14400,460800,230400,115200,57600,28800,14400,7200,230400,115200,57600,28800,14400,7200,3600,115200,57600,28800,14400,7200,3600,1800
Accumulator Dumps,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1
