,filler name,filler name,filler name
Symbol Rate (GHz),1.0,5.0,10.0
Systolic Array Rows,8.0,8.0,8.0
Systolic Array Cols,8.0,8.0,8.0
SRAM Input Size,64000.0,64000.0,64000.0
SRAM Filter Size,64000.0,64000.0,64000.0
SRAM Output Size,64000.0,64000.0,64000.0
DRAM Bandwidth Mode,0.0,0.0,0.0
Batch Size,1.0,1.0,1.0
SRAM Input Reads,434942048.0,434942048.0,434942048.0
SRAM Filter Reads,25502912.0,25502912.0,25502912.0
SRAM Output Writes,435426048.0,435426048.0,435426048.0
DRAM Input Reads,8030208.0,8030208.0,8030208.0
DRAM Filter Reads,25502912.0,25502912.0,25502912.0
DRAM Output Writes,435426048.0,435426048.0,435426048.0
Total Weights Programming Cycles,847352.0,847352.0,847352.0
Total Vector Segments Processed,53367464.0,53367464.0,53367464.0
ADCs Area,0.24,0.28,0.38
PS Area,0.0,0.0,0.0
ODAC Drivers Area,0.0096,0.0096,0.0096
PCM Heaters Area,0.0,0.0,0.0
MRM Heaters Area,0.0276,0.0276,0.0276
SRAM Area,0.0864,0.0864,0.0864
DRAM Area,0.0,0.0,0.0
Clock Area,0.084,0.084,0.084
Rx AFE Area,0.0,0.0,0.0
ADCs Power,46.37199236069769,17.899405157765663,11.849963530931312
PS Power,3.709759388855816,5.3698215473297,5.687982494847031
ODAC Drivers Power,46.37199236069769,17.899405157765663,11.849963530931312
PCM Heaters Power,39.268270740961235,56.84023793689373,60.20801167010198
MRM Heaters Power,4.451711266626978,1.2887571713591277,0.6825578993816436
SRAM Program Power,0.05539989873041117,0.08019052955728159,0.08494180381118088
SRAM Compute Power,1.8906979868252214,2.736757219254135,2.8989095854600073
DRAM Program Power,4.321192100972071,6.254861305467963,6.625460697272107
DRAM Compute Power,75.13885749807113,108.76237883431098,115.20652994793058
Clocks Power,1.1592998090174422,1.6780692335405312,1.7774945296396971
Rx AFE Power,6.955798854104653,2.0136830802486374,1.066496717783818
MRMs Area,0.0016,0.0016,0.0016
Crossbar Array Area,0.0256,0.0256,0.0256
Tx Power Splitters Area,0.00021,0.00021,0.00021
Grating Coupler Area,0.0009,0.0009,0.0009
Photonic Power Single PD,0.2,0.2,0.2
PCM OMA,-0.13,-0.13,-0.13
MRM Tx OMA,-4.0,-4.0,-4.0
Power Loss Crossbar Junctions,-0.4,-0.4,-0.4
Power Loss Crossbar Waveguides,-0.048,-0.048,-0.048
Power Loss Splitting Tree,-0.8,-0.8,-0.8
Power Loss Tx Waveguides,-0.15079644737231007,-0.15079644737231007,-0.15079644737231007
Power Loss Grating Coupler,-2.0,-2.0,-2.0
Power Loss Waveguide Power Combining,-9.030899869919436,-9.030899869919436,-9.030899869919436
PCM OMA Actual Loss,10.684024460467798,10.684024460467798,10.684024460467798
MRM Tx OMA Actual Loss,218.061396062813,218.061396062813,218.061396062813
Crossbar Junctions Actual Loss,31.877833178524043,31.877833178524043,31.877833178524043
Crossbar Waveguides Actual Loss,3.9821604550626124,3.9821604550626124,3.9821604550626124
Splitting Tree Actual Loss,60.950762572517455,60.950762572517455,60.950762572517455
Tx Waveguides Actual Loss,12.36369866018345,12.36369866018345,12.36369866018345
Grating Coupler Actual Loss,133.70147098010827,133.70147098010827,133.70147098010827
Waveguide Power Combining Actual Loss,317.0061383359948,317.0061383359948,317.0061383359948
Compute Portion,0.38643326967248076,0.1118712822360354,0.05924981765465656
Program Portion,0.6135667303275193,0.8881287177639645,0.9407501823453435
Total Time,0.138102664,0.09540869280000001,0.0900719464
Total Electronics Area,0.4476,0.48760000000000003,0.5875999999999999
Total Photonics Area,0.028310000000000002,0.028310000000000002,0.028310000000000002
Total Electronics Program Power,39.32367063969165,56.920428466451014,60.292953473913165
Total Electronics Compute Power,140.19748347863873,140.50064726043493,139.96625225525267
Total Combined Electronics Power,179.52115411833037,197.42107572688593,200.25920572916584
Total Electronics Power dBm,22.54115631608215,22.953935140038418,23.01592489327986
Total Photonic Losses and OMA,-16.559696317291746,-16.559696317291746,-16.559696317291746
Total Photonic Power mW,72.45854590537024,72.45854590537024,72.45854590537024
Total Laser Power from Wall mW,362.2927295268512,362.2927295268512,362.2927295268512
Total Laser Power from Wall dBm,25.59059618721118,25.59059618721118,25.59059618721118
Total Chip Area,0.47591,0.5159100000000001,0.61591
Total Chip Power,541.8138836451816,559.7138052537371,562.551935256017
Total Chip Power dBm,27.338501293668397,27.47966018844516,27.501626230570274
Inferences Per Second,7.240989934850206,10.481225249529881,11.10223593436191
Inferences Per Second Per Watt,13.364349185987495,18.726043830164937,19.735486163262934
