,3,2,1,0
Systolic Array Rows,64,32,16,8
Systolic Array Cols,64,32,16,8
SRAM Input Size,64000,64000,64000,64000
SRAM Filter Size,64000,64000,64000,64000
SRAM Output Size,64000,64000,64000,64000
DRAM Bandwidth Mode,0,0,0,0
, , , , 
SRAM Input Reads,54368524,108737048,217472048,434942048
SRAM Filter Reads,25502912,25502912,25502912,25502912
SRAM Output Writes,54912256,109050112,218100224,435426048
DRAM Input Reads,8030208,8030208,8030208,8030208
DRAM Filter Reads,25502912,25502912,25502912,25502912
DRAM Output Writes,54912256,109050112,218100224,435426048
Total Weights Programming Cycles,13239,52954,212120,847352
Total Vector Segments Processed,841386,3341564,13365692,53367464
, , , , 
Symbol Rate (GHz),1,1,1,1
ADCs Area,1.92,0.96,0.48,0.24
PS Area,0,0,0,0
ODAC Drivers Area,0.0768,0.0384,0.0192,0.0096
PCM Heaters Area,0,0,0,0
MRM Heaters Area,0.2208,0.1104,0.0552,0.0276
SRAM Area,0.0864,0.0864,0.0864,0.0864
DRAM Area,0,0,0,0
Clock Area,0.672,0.336,0.168,0.084
Rx AFE Area,0,0,0,0
ADCs Power,960,480,240,120
PS Power,76.8,38.4,19.2,9.6
ODAC Drivers Power,960,480,240,120
PCM Heaters Power,4096,1024,256,64
MRM Heaters Power,92.16,46.08,23.04,11.52
SRAM Program Power,5.779041922,1.444815047,0.360686102,0.090291562
SRAM Compute Power,38.96455848,19.55256521,9.77664917,4.892689463
DRAM Program Power,450.7652699,112.6955737,28.13351597,7.042741869
DRAM Compute Power,1750.508872,819.8794002,395.8981031,194.4419992
Clocks Power,24,12,6,3
Rx AFE Power,144,72,36,18
MRMs Area,0.0128,0.0064,0.0032,0.0016
Crossbar Array Area,1.6384,0.4096,0.1024,0.0256
Tx Power Splitters Area,0.00189,0.00093,0.00045,0.00021
Grating Coupler Area,0.0009,0.0009,0.0009,0.0009
Photonic Power Single PD,0.2,0.2,0.2,0.2
PCM OMA,0.13,0.13,0.13,0.13
MRM Tx OMA,4,4,4,4
Power Loss Crossbar Junctions,3.2,1.6,0.8,0.4
Power Loss Crossbar Waveguides,0.384,0.192,0.096,0.048
Power Loss Splitting Tree,6.4,3.2,1.6,0.8
Power Loss Tx Waveguides,1.206371579,0.603185789,0.301592895,0.150796447
Power Loss Grating Coupler,2,2,2,2
Power Loss Waveguide Power Combining,18.06179974,15.05149978,12.04119983,9.03089987
Compute Portion,0.388579615,0.386891042,0.386540895,0.38643327
Program Portion,0.611420385,0.613108958,0.613459105,0.61356673
Total Time,0.002165286,0.008636964,0.034577692,0.138102664
Total Electronics Area,2.976,1.5312,0.8088,0.4476
Total Photonics Area,1.65399,0.41783,0.10695,0.02831
Total Electronics Program Power,4101.779042,1025.444815,256.3606861,64.09029156
Total Electronics Compute Power,3097.18543,1493.287965,732.6027522,362.7986886
Total Combined Electronics Power,3711.414443,1206.449139,440.4477204,179.5211541
Total Electronics Power dBm,35.69539453,30.81509018,26.43894367,22.54115632
Total Photonic Losses and OMA,35.38217132,26.77668557,20.96879272,16.55969632
Total Photonic Power mW,44200.49179,3046.832162,399.9716876,72.45854591
