,filler name,filler name.1,filler name.2,filler name.3,filler name.4,filler name.5,filler name.6,filler name.7,filler name.8,filler name.9,filler name.10,filler name.11,filler name.12,filler name.13,filler name.14,filler name.15,filler name.16,filler name.17,filler name.18,filler name.19,filler name.20,filler name.21,filler name.22,filler name.23,filler name.24,filler name.25,filler name.26,filler name.27,filler name.28,filler name.29
Systolic Array Rows,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128
Systolic Array Cols,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128,8,16,32,64,128
SRAM Input Size,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
SRAM Filter Size,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
SRAM Output Size,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
DRAM Bandwidth Mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batch Size,1,1,1,1,1,32,32,32,32,32,128,128,128,128,128,8,8,8,8,8,16,16,16,16,16,64,64,64,64,64
SRAM Input Reads,450,450,450,450,450,14400,14400,14400,14400,14400,57600,57600,57600,57600,57600,3600,3600,3600,3600,3600,7200,7200,7200,7200,7200,28800,28800,28800,28800,28800
SRAM Filter Reads,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
SRAM Output Writes,375,250,125,125,125,12000,8000,4000,4000,4000,48000,32000,16000,16000,16000,3000,2000,1000,1000,1000,6000,4000,2000,2000,2000,24000,16000,8000,8000,8000
DRAM Input Reads,98,98,98,98,98,3136,3136,3136,3136,3136,12544,12544,12544,12544,12544,784,784,784,784,784,1568,1568,1568,1568,1568,6272,6272,6272,6272,6272
DRAM Filter Reads,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
DRAM Output Writes,375,250,125,125,125,12000,8000,4000,4000,4000,48000,32000,16000,16000,16000,3000,2000,1000,1000,1000,6000,4000,2000,2000,2000,24000,16000,8000,8000,8000
Total Weights Programming Cycles,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
Total Vector Segments Processed,75,50,25,25,25,2400,1600,800,800,800,9600,6400,3200,3200,3200,600,400,200,200,200,1200,800,400,400,400,4800,3200,1600,1600,1600
