,3,2,1,0
Systolic Array Rows,64.0,32.0,16.0,8.0
Systolic Array Cols,64.0,32.0,16.0,8.0
SRAM Input Size,64000.0,64000.0,64000.0,64000.0
SRAM Filter Size,64000.0,64000.0,64000.0,64000.0
SRAM Output Size,64000.0,64000.0,64000.0,64000.0
DRAM Bandwidth Mode,0.0,0.0,0.0,0.0
SRAM Input Reads,450.0,450.0,450.0,450.0
SRAM Filter Reads,90.0,90.0,90.0,90.0
SRAM Output Writes,125.0,125.0,250.0,375.0
DRAM Input Reads,98.0,98.0,98.0,98.0
DRAM Filter Reads,90.0,90.0,90.0,90.0
DRAM Output Writes,125.0,125.0,250.0,375.0
Total Weights Programming Cycles,1.0,1.0,2.0,3.0
Total Vector Segments Processed,25.0,25.0,50.0,75.0
